ProteinID,GeneID,Query.Length,Description,SequenceID,Length,GeneSymbol,GeneSymbol2
FUN_002100-T1,FUN_002100,Length:631,angiotensin-converting enzyme-like [Acropora muricata],XP_067045650.1,631,ECEL1,ECEL1
FUN_002101-T1,FUN_002101,Length:656,PREDICTED: angiotensin-converting enzyme-like [Acropora digitifera],XP_015773866.1,682,ACE,ACE
FUN_002102-T1,FUN_002102,Length:833,unnamed protein product [Pocillopora meandrina],CAH3150150.1,834,UBA52,UBA52
FUN_002104-T1,FUN_002104,Length:258,uncharacterized protein [Acropora muricata],XP_067040110.1,258,GPRASP1,GPRASP1
FUN_002106-T1,FUN_002106,Length:1165,serine/threonine-protein kinase SIK3-like [Acropora muricata],XP_067057287.1,1176,NA,NA
FUN_002112-T1,FUN_002112,Length:472,Zinc finger protein ZPR1 [Acropora cervicornis],KAK2573836.1,383,ZPR1,ZPR1
FUN_002113-T1,FUN_002113,Length:329,mitochondrial import receptor subunit TOM40 homolog [Acropora muricata],XP_067053298.1,329,MIX23,MIX23
FUN_002114-T1,FUN_002114,Length:77,hypothetical protein P5673_001531 [Acropora cervicornis],KAK2573829.1,80,NA,NA
FUN_002115-T1,FUN_002115,Length:80,hypothetical protein P5673_001531 [Acropora cervicornis],KAK2573829.1,80,NA,NA
FUN_002116-T1,FUN_002116,Length:596,Cholesterol oxidase [Acropora cervicornis],KAK2573599.1,1175,HAOL,HAOL
FUN_002117-T1,FUN_002117,Length:576,Cholesterol oxidase [Acropora cervicornis],KAK2573599.1,1175,HAOL,HAOL
FUN_002127-T1,FUN_002127,Length:642,Calpain-5 [Acropora cervicornis],KAK2573596.1,591,CAPN5,CAPN5
FUN_002133-T1,FUN_002133,Length:353,short-chain collagen C4-like isoform X1 [Acropora millepora],XP_029186261.1,353,KLRC4,KLRC4
FUN_002135-T1,FUN_002135,Length:639,Very long-chain specific acyl-CoA dehydrogenase [Acropora cervicornis],KAK2573341.1,655,ACADVL,ACADVL
FUN_002148-T1,FUN_002148,Length:496,renin receptor-like [Acropora millepora],XP_029186173.2,496,ADORA2L1,ADORA2L1
FUN_002149-T1,FUN_002149,Length:147,hypothetical protein P5673_001161 [Acropora cervicornis],KAK2573504.1,170,NA,NA
FUN_002151-T1,FUN_002151,Length:295,Histamine N-methyltransferase [Acropora cervicornis],KAK2573505.1,295,NTMT1,NTMT1
FUN_002152-T1,FUN_002152,Length:926,Dual serine/threonine and tyrosine protein kinase [Acropora cervicornis],KAK2573364.1,926,NA,NA
FUN_002153-T1,FUN_002153,Length:966,dual serine/threonine and tyrosine protein kinase-like [Acropora muricata],XP_067058087.1,960,NA,NA
FUN_002155-T1,FUN_002155,Length:140,PREDICTED: profilin-like [Acropora digitifera],XP_015769035.1,140,NA,NA
FUN_002158-T1,FUN_002158,Length:229,Transmembrane protein 147 [Acropora cervicornis],KAK2573889.1,207,TMEM147,TMEM147
FUN_002159-T1,FUN_002159,Length:101,ATP synthase-coupling factor 6 [Acropora cervicornis],KAK2573872.1,101,AGGF1P6,AGGF1P6
FUN_002160-T1,FUN_002160,Length:351,porphobilinogen deaminase-like [Acropora muricata],XP_067053750.1,351,MAPDA,MAPDA
FUN_002161-T1,FUN_002161,Length:389,Calsequestrin-1 [Acropora cervicornis],KAK2573870.1,379,CASQ1,CASQ1
FUN_002163-T1,FUN_002163,Length:310,calcium homeostasis modulator protein 5-like [Acropora millepora],XP_029186169.1,310,CALHM1,CALHM1
FUN_002172-T1,FUN_002172,Length:1002,ubiquitin carboxyl-terminal hydrolase 25-like [Acropora muricata],XP_067058040.1,1002,UCHH2,UCHH2
FUN_002173-T1,FUN_002173,Length:900,Peripheral plasma membrane protein CASK [Acropora cervicornis],KAK2573489.1,801,APMAP,APMAP
FUN_002177-T1,FUN_002177,Length:236,hypothetical protein P5673_022256 [Acropora cervicornis],KAK2555970.1,270,NA,NA
FUN_002180-T1,FUN_002180,Length:1003,Phosphatidylinositol 3 [Acropora cervicornis],KAK2573287.1,567,A12M3,A12M3
FUN_002184-T1,FUN_002184,Length:417,UDP-glucuronic acid decarboxylase 1 [Acropora cervicornis],KAK2573702.1,435,CSAD,CSAD
FUN_002185-T1,FUN_002185,Length:532,Serine/threonine-protein kinase PAK 3 [Acropora cervicornis],KAK2573632.1,692,NA,NA
FUN_002187-T1,FUN_002187,Length:241,Splicing factor U2AF 35 kDa subunit [Acropora cervicornis],KAK2573630.1,210,UHMK1,UHMK1
FUN_002188-T1,FUN_002188,Length:100,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform [Acropora cervicornis],KAK2573629.1,380,NA,NA
FUN_002189-T1,FUN_002189,Length:538,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform [Acropora cervicornis],KAK2573629.1,380,NA,NA
FUN_002190-T1,FUN_002190,Length:257,TM2 domain-containing protein 3 [Acropora cervicornis],KAK2573627.1,257,ISM2,ISM2
FUN_002191-T1,FUN_002191,Length:638,V-type proton ATPase catalytic subunit A [Acropora millepora],XP_029186149.2,654,ATP6V0A1,ATP6V0A1
FUN_002193-T1,FUN_002193,Length:425,serine/threonine-protein kinase 26-like [Acropora muricata],XP_067016734.1,425,NA,NA
FUN_002199-T1,FUN_002199,Length:646,DNA repair protein XRCC1-like [Acropora millepora],XP_044180452.1,680,XNDC1CP,XNDC1CP
FUN_002200-T1,FUN_002200,Length:442,3'-5' ssDNA/RNA exonuclease TatD-like [Acropora millepora],XP_029186266.2,442,NA,NA
FUN_002203-T1,FUN_002203,Length:773,U2 snRNP-associated SURP motif-containing protein [Acropora cervicornis],KAK2573566.1,574,TRIM51,TRIM51
FUN_002206-T1,FUN_002206,Length:571,Telomerase Cajal body protein 1 [Acropora cervicornis],KAK2573787.1,543,SCARNA1,SCARNA1
FUN_002207-T1,FUN_002207,Length:482,Eukaryotic translation initiation factor 2A [Acropora cervicornis],KAK2573785.1,599,EIF2A,EIF2A
FUN_002248-T1,FUN_002248,Length: 1062,Rootletin [Acropora cervicornis],KAK2557731.1,880,CROCC,CROCC
FUN_002251-T1,FUN_002251,Length: 2153,rootletin-like [Acropora millepora],XP_044176412.1,2166,NA,NA
FUN_002255-T1,FUN_002255,Length: 337,uncharacterized protein LOC114970977 [Acropora millepora],XP_029207312.2,337,GPRASP1,GPRASP1
FUN_002260-T1,FUN_002260,Length: 420,hypothetical protein P5673_007660 [Acropora cervicornis],KAK2567790.1,241,NA,NA
FUN_002261-T1,FUN_002261,Length: 526,Dystrobrevin beta [Acropora cervicornis],KAK2557780.1,396,LITATS1,LITATS1
FUN_002267-T1,FUN_002267,Length: 212,hypothetical protein P5673_020146 [Acropora cervicornis],KAK2557779.1,426,NA,NA
FUN_002269-T1,FUN_002269,Length: 311,hypothetical protein P5673_020067 [Acropora cervicornis],KAK2557703.1,249,NA,NA
FUN_002271-T1,FUN_002271,Length: 408,Peroxisomal membrane protein PEX14 [Acropora cervicornis],KAK2557696.1,408,PXMP2,PXMP2
FUN_002272-T1,FUN_002272,Length: 393,Leucine-rich repeat-containing protein 34 [Acropora cervicornis],KAK2557697.1,393,LRRC34,LRRC34
FUN_002278-T1,FUN_002278,Length: 377,hypothetical protein P5673_019981 [Acropora cervicornis],KAK2557624.1,259,NA,NA
FUN_002279-T1,FUN_002279,Length: 601,eukaryotic translation initiation factor 4 gamma 1-like isoform X1 [Acropora muricata],XP_067049717.1,1602,EIF4G1,EIF4G1
FUN_002285-T1,FUN_002285,Length: 291,tumor protein p63-regulated gene 1-like protein isoform X1 [Acropora muricata],XP_067051404.1,333,TPRG1LP1,TPRG1LP1
FUN_002290-T1,FUN_002290,Length: 961,Coatomer subunit beta' [Acropora cervicornis],KAK2557676.1,752,FARSB,FARSB
FUN_002296-T1,FUN_002296,Length: 367,45 kDa calcium-binding protein [Acropora cervicornis],KAK2557759.1,337,SCPPPQ1,SCPPPQ1
FUN_002298-T1,FUN_002298,Length: 387,uncharacterized protein LOC114969477 isoform X1 [Acropora millepora],XP_029205634.2,997,ATP6V1A2,ATP6V1A2
FUN_002303-T1,FUN_002303,Length: 275,COP9 signalosome complex subunit 7b [Acropora cervicornis],KAK2557638.1,235,COPS7B,COPS7B
FUN_002306-T1,FUN_002306,Length: 178,Calmodulin-B [Acropora cervicornis],KAK2557636.1,154,NA,NA
FUN_002308-T1,FUN_002308,Length: 113,Calmodulin [Acropora cervicornis],KAK2557634.1,195,OBSCN,OBSCN
FUN_002310-T1,FUN_002310,Length: 163,"Calmodulin, partial [Acropora cervicornis]",KAK2557632.1,190,LGI1,LGI1
FUN_002328-T1,FUN_002328,Length: 756,endothelin-converting enzyme homolog isoform X4 [Acropora muricata],XP_067048926.1,756,ATP6V1A2,ATP6V1A2
FUN_002329-T1,FUN_002329,Length: 300,Prohibitin-2 [Acropora cervicornis],KAK2557652.1,384,PHB2,PHB2
FUN_002340-T1,FUN_002340,Length: 830,"Ephrin type-A receptor 4-A, partial [Acropora cervicornis]",KAK2546696.1,982,GRIA4,GRIA4
FUN_002357-T1,FUN_002357,Length: 362,Cytosolic acyl coenzyme A thioester hydrolase [Acropora cervicornis],KAK2557608.1,362,ACAD,ACAD
FUN_002358-T1,FUN_002358,Length: 164,hypothetical protein,,NA,NA,NA
FUN_002362-T1,FUN_002362,Length: 1543,eukaryotic translation initiation factor 4 gamma 1-like isoform X1 [Acropora muricata],XP_067049717.1,1602,EIF4G1,EIF4G1
FUN_002364-T1,FUN_002364,Length: 220,PREDICTED: uncharacterized protein LOC107327052 [Acropora digitifera],XP_015747293.1,220,PLGRKT,PLGRKT
FUN_002370-T1,FUN_002370,Length: 293,PREDICTED: uncharacterized protein LOC107327050 [Acropora digitifera],XP_015747288.1,293,PLGRKT,PLGRKT
FUN_002371-T1,FUN_002371,Length: 1044,Phosphatidylinositol 4 [Acropora cervicornis],KAK2557684.1,1014,A12M4,A12M4
FUN_002380-T1,FUN_002380,Length: 1631,rho guanine nucleotide exchange factor 10-like protein [Acropora millepora],XP_029183221.2,1628,ARHGEF10L,ARHGEF10L
FUN_002381-T1,FUN_002381,Length: 208,eukaryotic translation initiation factor 5B-like [Acropora millepora],XP_029183233.2,208,EIF4ENIF1,EIF4ENIF1
FUN_002383-T1,FUN_002383,Length: 439,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit [Acropora cervicornis],KAK2557768.1,748,DDOST,DDOST
FUN_002384-T1,FUN_002384,Length: 446,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit [Acropora cervicornis],KAK2557768.1,748,DDOST,DDOST
FUN_002385-T1,FUN_002385,Length: 512,hypothetical protein P5673_019949 [Acropora cervicornis],KAK2557597.1,350,NA,NA
FUN_002388-T1,FUN_002388,Length:263,adaptin ear-binding coat-associated protein 2-like [Acropora millepora],XP_029183246.2,263,GGA1,GGA1
FUN_002391-T1,FUN_002391,Length:632,peroxisomal targeting signal 1 receptor-like isoform X1 [Acropora muricata],XP_067048986.1,632,ADORA2L1,ADORA2L1
FUN_002395-T1,FUN_002395,Length:452,Alpha-L-fucosidase [Acropora cervicornis],KAK2571894.1,1208,FUCA1,FUCA1
FUN_002397-T1,FUN_002397,Length:741,ABC transporter G family member 22 [Acropora cervicornis],KAK2557724.1,549,SLC21A1,SLC21A1
FUN_002402-T1,FUN_002402,Length:690,Mannan-binding lectin serine protease 1 [Acropora cervicornis],KAK2557751.1,624,MASP1,MASP1
FUN_002405-T1,FUN_002405,Length:217,uncharacterized protein LOC114967999 [Acropora millepora],XP_029203941.2,217,GPRASP1,GPRASP1
FUN_002406-T1,FUN_002406,Length:151,hypothetical protein P5673_020028 [Acropora cervicornis],KAK2557667.1,74,NA,NA
FUN_002409-T1,FUN_002409,Length:234,DBH-like monooxygenase protein 1 [Acropora cervicornis],KAK2557665.1,607,YWHABP1,YWHABP1
FUN_002410-T1,FUN_002410,Length:335,DBH-like monooxygenase protein 1 [Acropora cervicornis],KAK2557665.1,607,YWHABP1,YWHABP1
FUN_002411-T1,FUN_002411,Length:489,DELTA-alicitoxin-Pse2b-like [Acropora millepora],XP_029200908.2,489,NA,NA
FUN_002421-T1,FUN_002421,Length:236,Ribosome-recycling factor [Acropora cervicornis],KAK2554694.1,217,GFM2,GFM2
FUN_002423-T1,FUN_002423,Length:4464,protocadherin-like protein [Acropora muricata],XP_067054474.1,4465,GPRASP1,GPRASP1
FUN_002425-T1,FUN_002425,Length:588,GPI transamidase component PIG-T [Acropora cervicornis],KAK2554697.1,677,PIGT,PIGT
FUN_002435-T1,FUN_002435,Length:242,alpha o G protein [Acropora palmata],AFZ78089.1,354,PCMT1,PCMT1
FUN_002455-T1,FUN_002455,Length:510,Heat shock factor protein 1 [Acropora cervicornis],KAK2554769.1,526,HSBP1L1,HSBP1L1
FUN_002458-T1,FUN_002458,Length:231,Testis [Acropora cervicornis],KAK2554771.1,246,FATE1,FATE1
FUN_002459-T1,FUN_002459,Length:359,protein disulfide isomerase-like 2-2 [Acropora millepora],XP_029196003.1,359,PDILT,PDILT
FUN_002462-T1,FUN_002462,Length:270,Cytochrome b-c1 complex subunit Rieske [Acropora cervicornis],KAK2554723.1,255,UQCRB,UQCRB
FUN_002465-T1,FUN_002465,Length:706,eukaryotic translation initiation factor 2-alpha kinase 1-like [Acropora millepora],XP_029195943.2,706,EIF2AK2,EIF2AK2
FUN_002477-T1,FUN_002477,Length:179,PREDICTED: uncharacterized protein LOC107331612 [Acropora digitifera],XP_015751705.1,179,PLGRKT,PLGRKT
FUN_002481-T1,FUN_002481,Length:630,SUMO-activating enzyme subunit 2 [Acropora cervicornis],KAK2553169.1,281,UBA2,UBA2
FUN_002485-T1,FUN_002485,Length:1277,PREDICTED: uncharacterized protein LOC107331618 [Acropora digitifera],XP_015751712.1,468,PLGRKT,PLGRKT
FUN_002490-T1,FUN_002490,Length:507,"b(0,+)-type amino acid transporter 1-like [Acropora millepora]",XP_029201424.1,507,BAAT,BAAT
FUN_002493-T1,FUN_002493,Length:519,b0 [Acropora cervicornis],KAK2553180.1,504,NA,NA
FUN_002495-T1,FUN_002495,Length:319,Syntaxin-16 [Acropora cervicornis],KAK2553177.1,201,STX16,STX16
FUN_002498-T1,FUN_002498,Length:179,Programmed cell death protein 6 [Acropora cervicornis],KAK2553129.1,186,PDCD6IP,PDCD6IP
FUN_002499-T1,FUN_002499,Length:178,Programmed cell death protein 6 [Acropora cervicornis],KAK2553128.1,287,PDCD6IP,PDCD6IP
FUN_002500-T1,FUN_002500,Length:180,"ER membrane protein complex subunit 4, partial [Acropora cervicornis]",KAK2553127.1,184,EMC4,EMC4
FUN_002502-T1,FUN_002502,Length:430,Hepatocyte nuclear factor 4-gamma [Acropora cervicornis],KAK2553132.1,348,HNF4G,HNF4G
FUN_002503-T1,FUN_002503,Length:658,Anoctamin-10 [Acropora cervicornis],KAK2553084.1,589,ANO10,ANO10
FUN_002508-T1,FUN_002508,Length:217,Ras-related protein Rab-31 [Acropora cervicornis],KAK2553080.1,114,GPRASP1,GPRASP1
FUN_002513-T1,FUN_002513,Length:122,microtubule nucleation factor SSNA1-like [Porites lutea],XP_073232606.1,123,TPX2,TPX2
FUN_002519-T1,FUN_002519,Length:470,Cytoplasmic dynein 1 light intermediate chain 2 [Acropora cervicornis],KAK2553114.1,447,DYNC1LI2,DYNC1LI2
FUN_002520-T1,FUN_002520,Length:294,Collagen alpha-1(I) chain [Acropora cervicornis],KAK2553115.1,404,COL1A1,COL1A1
FUN_002521-T1,FUN_002521,Length:294,Collagen alpha-1(III) chain [Acropora cervicornis],KAK2553116.1,298,COL3A1,COL3A1
FUN_002522-T1,FUN_002522,Length:299,hypothetical protein P5673_025569 [Acropora cervicornis],KAK2553117.1,245,NA,NA
FUN_002524-T1,FUN_002524,Length:1546,uncharacterized protein [Acropora muricata],XP_067055449.1,1484,GPRASP1,GPRASP1
FUN_002526-T1,FUN_002526,Length:173,PREDICTED: male-enhanced antigen 1-like [Acropora digitifera],XP_015749470.1,173,MEA1,MEA1
FUN_002537-T1,FUN_002537,Length:433,Protein jagged-1a [Acropora cervicornis],KAK2553153.1,433,GPRASP1,GPRASP1
FUN_002539-T1,FUN_002539,Length:504,Xaa-Arg dipeptidase [Acropora cervicornis],KAK2553144.1,777,NAALAD2,NAALAD2
FUN_002541-T1,FUN_002541,Length:1698,"F-actin-uncapping protein LRRC16A, partial [Acropora cervicornis]",KAK2553150.1,1731,LGI1,LGI1
FUN_002542-T1,FUN_002542,Length:164,"F-actin-uncapping protein LRRC16A, partial [Acropora cervicornis]",KAK2553150.1,1731,LGI1,LGI1
FUN_002545-T1,FUN_002545,Length:268,NADH dehydrogenase [ubiquinone] iron-sulfur protein 3 [Acropora cervicornis],KAK2553149.1,189,ISCA1P3,ISCA1P3
FUN_002553-T1,FUN_002553,Length:202,Ras-related protein Rab-30 [Acropora cervicornis],KAK2553099.1,202,GPRASP1,GPRASP1
FUN_002554-T1,FUN_002554,Length:197,Ras-related protein Rab-14 [Acropora cervicornis],KAK2553102.1,455,GPRASP1,GPRASP1
FUN_002555-T1,FUN_002555,Length:367,uncharacterized protein LOC141877429 [Acropora palmata],XP_074618499.1,367,GPRASP1,GPRASP1
FUN_002556-T1,FUN_002556,Length:310,Ubiquinone biosynthesis protein COQ9-A [Acropora cervicornis],KAK2553104.1,256,PBLD,PBLD
FUN_002558-T1,FUN_002558,Length:599,T-cell immunomodulatory protein [Acropora cervicornis],KAK2553187.1,558,PIBF1,PIBF1
FUN_002587-T1,FUN_002587,Length:261,NAD-dependent protein deacylase sirtuin-6-like isoform X2 [Acropora muricata],XP_067056775.1,263,ATP6V1A2,ATP6V1A2
FUN_002603-T1,FUN_002603,Length:582,Tetratricopeptide repeat protein 28 [Acropora cervicornis],KAK2561415.1,1543,TTC28,TTC28
FUN_002609-T1,FUN_002609,Length:533,"methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial-like [Montipora capricornis]",XP_068752118.1,533,NA,NA
FUN_002611-T1,FUN_002611,Length:403,angio-associated migratory cell protein-like [Acropora millepora],XP_044169504.1,402,MLPL1,MLPL1
FUN_002615-T1,FUN_002615,Length:436,Lupus La protein [Acropora cervicornis],KAK2560489.1,331,SSB,SSB
FUN_002619-T1,FUN_002619,Length:668,Transcription initiation factor TFIID subunit 5 [Acropora cervicornis],KAK2560359.1,520,EIF2S2P5,EIF2S2P5
FUN_002623-T1,FUN_002623,Length:317,"trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like [Acropora millepora]",XP_029211312.2,341,G6PDL,G6PDL
FUN_002627-T1,FUN_002627,Length:381,FYVE and coiled-coil domain-containing protein 1-like [Acropora muricata],XP_067019369.1,381,R3HCC1L,R3HCC1L
FUN_002630-T1,FUN_002630,Length:219,ras-related protein Rab-11A-like [Montipora capricornis],XP_068752517.1,218,GPRASP1,GPRASP1
FUN_002639-T1,FUN_002639,Length:354,Rap1 GTPase-GDP dissociation stimulator 1 [Acropora cervicornis],KAK2560561.1,502,RAP1GDS1,RAP1GDS1
FUN_002640-T1,FUN_002640,Length:274,Rap1 GTPase-GDP dissociation stimulator 1 [Acropora cervicornis],KAK2560561.1,502,RAP1GDS1,RAP1GDS1
FUN_002642-T1,FUN_002642,Length:184,Serine hydrolase RBBP9 [Acropora cervicornis],KAK2560457.1,183,OVCA2,OVCA2
FUN_002644-T1,FUN_002644,Length:310,"Arginine-hydroxylase NDUFAF5, partial [Acropora cervicornis]",KAK2560459.1,260,LGI1,LGI1
FUN_002645-T1,FUN_002645,Length:462,Protein kinase C epsilon type [Acropora cervicornis],KAK2568686.1,703,PRKCE,PRKCE
FUN_002650-T1,FUN_002650,Length:725,carnitine O-acetyltransferase-like [Acropora muricata],XP_067019281.1,725,CPT1A,CPT1A
FUN_002653-T1,FUN_002653,Length:355,Cysteine synthase 1 [Acropora cervicornis],KAK2560495.1,312,ADSS1,ADSS1
FUN_002659-T1,FUN_002659,Length:182,unnamed protein product [Porites lobata],CAH3159660.1,169,UBA52,UBA52
FUN_002660-T1,FUN_002660,Length:499,Signal recognition particle 54 kDa protein [Acropora cervicornis],KAK2560399.1,357,SRP54,SRP54
FUN_002667-T1,FUN_002667,Length:454,Kynurenine 3-monooxygenase [Acropora cervicornis],KAK2560398.1,454,KMO,KMO
FUN_002669-T1,FUN_002669,Length:648,WD repeat-containing protein 43-like [Acropora muricata],XP_067018400.1,648,ZNF43L,ZNF43L
FUN_002671-T1,FUN_002671,Length:120,Signal recognition particle 14 kDa protein [Acropora cervicornis],KAK2560419.1,110,SRP14,SRP14
FUN_002672-T1,FUN_002672,Length:200,COMM domain-containing protein 7-like [Acropora millepora],XP_029211252.1,200,CMTM7,CMTM7
FUN_002689-T1,FUN_002689,Length:1004,5'-3' exoribonuclease 2 [Acropora cervicornis],KAK2560376.1,955,XRN2,XRN2
FUN_002690-T1,FUN_002690,Length:1597,Myosin-IIIa [Acropora cervicornis],KAK2560538.1,504,MYO3A,MYO3A
FUN_002695-T1,FUN_002695,Length:367,Endoplasmic reticulum resident protein 44 [Acropora cervicornis],KAK2560542.1,338,ERP44,ERP44
FUN_002696-T1,FUN_002696,Length:397,Endoplasmic reticulum resident protein 44 [Acropora cervicornis],KAK2560542.1,338,ERP44,ERP44
FUN_002697-T1,FUN_002697,Length:303,syntaxin-17-like [Acropora millepora],XP_029203993.1,303,NA,NA
FUN_002698-T1,FUN_002698,Length:546,PREDICTED: numb-like protein isoform X2 [Acropora digitifera],XP_015761300.1,545,NUMBL,NUMBL
FUN_002704-T1,FUN_002704,Length:1336,Protein phosphatase 1 regulatory subunit 21 [Acropora cervicornis],KAK2560434.1,666,PPP1R21,PPP1R21
FUN_002705-T1,FUN_002705,Length:402,Obg-like ATPase 1 [Acropora cervicornis],KAK2560341.1,465,OLA1,OLA1
FUN_002709-T1,FUN_002709,Length:399,inward rectifier potassium channel 2-like [Acropora muricata],XP_067018311.1,399,HCN1,HCN1
FUN_002711-T1,FUN_002711,Length:346,SUMO-activating enzyme subunit 1 [Acropora cervicornis],KAK2560347.1,472,SAE1,SAE1
FUN_002715-T1,FUN_002715,Length:170,Myosin regulatory light polypeptide 9 [Desmophyllum pertusum],KAJ7373173.1,170,NEFLL1,NEFLL1
FUN_002718-T1,FUN_002718,Length:93,PREDICTED: protein transport protein Sec61 subunit beta-like [Acropora digitifera],XP_015751125.1,93,FNTBL1,FNTBL1
FUN_002725-T1,FUN_002725,Length:213,uncharacterized protein LOC141886801 [Acropora palmata],XP_074629180.1,213,GPRASP1,GPRASP1
FUN_002727-T1,FUN_002727,Length:111,Death-associated protein 1 [Acropora cervicornis],KAK2560565.1,104,MAPK1IP1L,MAPK1IP1L
FUN_002731-T1,FUN_002731,Length:671,DnaJ-like protein subfamily C member 10 [Acropora cervicornis],KAK2560566.1,735,ABCC10,ABCC10
FUN_002732-T1,FUN_002732,Length:393,glycogenin-1-like [Acropora millepora],XP_029179237.2,390,NA,NA
FUN_002733-T1,FUN_002733,Length:1028,trichohyalin-like [Acropora millepora],XP_029214589.2,1029,TCHHL1,TCHHL1
FUN_002734-T1,FUN_002734,Length:106,hypothetical protein P5673_016690 [Acropora cervicornis],KAK2560355.1,83,NA,NA
FUN_002737-T1,FUN_002737,Length:889,SPATS2-like protein [Acropora cervicornis],KAK2560351.1,781,GPRASP1,GPRASP1
FUN_002739-T1,FUN_002739,Length:1093,Rab3 GTPase-activating protein catalytic subunit [Acropora cervicornis],KAK2560352.1,810,RAB3GAP1,RAB3GAP1
FUN_002741-T1,FUN_002741,Length:357,DnaJ-like protein subfamily B member 11 [Acropora cervicornis],KAK2560366.1,357,ABCB11,ABCB11
FUN_002747-T1,FUN_002747,Length:159,transmembrane emp24 domain-containing protein 7-like [Acropora muricata],XP_067039314.1,207,CMTM7,CMTM7
